,text,place_lat_min,place_lon_min,place_lat_max,place_lon_max
124,"RT @Flamengo: Há exatos dois meses, o Mengão vencia o Barcelona (EQU) por 3 a 0, no Maraca, pela Fase de Grupos da Libertadores 2020. Gusta…",,,,
125,"RT @7leninvan: During mid-2017, writes @guzman_jordi, 26 families were evicted in Barcelona every day. 
I can't do that calculation for CoV…",,,,
126,@FerTargaryen @vegano_torero @vox_barcelona @Igarrigavaz @eltorotv @VOX_Congreso comunistas a pro Etarras asquerosos https://t.co/pNybF3a9vM,,,,
127,RT @peremora71: Vaig fer aquest foto fa exactament 25 anys a una manifestació a Cannes contra la política Europea a la guerra dels Balcans.…,,,,
128,@Frikicines Para mi siempre ha sido una gran película que no ha tenido el reconocimiento que se merece. La vi en un… https://t.co/s8Kur7EFVl,,,,
129,"@Futbool_Fotos Que manera de contratar mal el Barcelona, andan como locos detrás de L. Martínez y aún no ha demostrado nada ,mejor es Mbppe.",,,,
130,RT @TarekFatah: Spanish police arrest a Muslim man who they say is a suspected #IslamicState terrorist. He was planning an attack during th…,,,,
131,RT @AfectadosBBS: El Activista Jorge Fernandez @ChalecosAmarill resiste en la Plaza Universitat de Barcelona tras el desalojo de esta noche…,,,,
132,RT @peremora71: Vaig fer aquest foto fa exactament 25 anys a una manifestació a Cannes contra la política Europea a la guerra dels Balcans.…,,,,
133,"RT @goal: Guardiola &amp; Messi together again? 🤗

“I would very much like Guardiola to come back, but now he is at City &amp; it is a decision tha…",,,,
134,"RT @Futbool_Fotos: Uno de los mejores mediocampistas del fútbol. El cerebro del FC Barcelona.

Feliz cumpleaños a Don Andrés Iniesta 🔴🔵 htt…",,,,
135,RT @FCB_MessiMagic: @goal Barcelona is well and truly finished. But not a surprise as the refs carries them every year. https://t.co/ol4ghl…,,,,
136,"@RealMNchiefsfan Happy Birthday Isabelle from Barcelona, Spain!",,,,
137,"who is the Goat?
Like and subscribe for more contents.
#Messi #Ronaldo #Barcelona #RealMadrid #soccer #football… https://t.co/RG7ZjOwEhw",,,,
138,"RT @StudioIra: Sagrada Família Barcelona, Antoni Gaudí. https://t.co/pgdf3l6gk2",,,,
139,"@giraltpablo Un spoiler, MJ gana el oro en Barcelona 1992",,,,
140,"RT @LaPizarraDelDT_: Se ha comentado de un interés del Barcelona y Atlético de Madrid por Pervis Estupiñán 🇪🇨.

¿En qué club crees que enca…",,,,
141,"RT @roque_mn: Odeio quando acontece comigo...

https://t.co/eLyvJKoan8",,,,
142,"RT @goal: Barcelona have already reached an agreement with Miralem Pjanic, according to Sport 🤝

The report says Juventus are now looking a…",,,,
143,@rafasevidane @FerTargaryen @vox_barcelona @Igarrigavaz @eltorotv @VOX_Congreso Si no te gusta España largate comun… https://t.co/3hlJFClHYZ,,,,
144,RT @Volve10Riquelme: Como desaprovecharon a Riquelme en el Barcelona... https://t.co/gunQBIpKWa,,,,
145,"RT @Flamengo: Há exatos dois meses, o Mengão vencia o Barcelona (EQU) por 3 a 0, no Maraca, pela Fase de Grupos da Libertadores 2020. Gusta…",,,,
146,RT @CarloSebastian1: @vamosbsc @teleamazonasec @miguelloor eso no quita la verguenza de barcelona y soy barcelonista pero eso es una vergue…,,,,
147,"RT @goal: Barcelona have already reached an agreement with Miralem Pjanic, according to Sport 🤝

The report says Juventus are now looking a…",,,,
148,RT @Aeropuerto_BCN: ⚠️Air Canada operará en las rutas a Toronto y Montreal desde Barcelona con B787-8 de 255 plazas en sustitución del B767…,,,,
149,"RT @OnVasBarcelona: Conseqüències de l'abandonament i la degradació de la Barcelona Colau, esperem que li caigui una bona demanda",,,,
150,"RT @ElReyTuitero: Mandar a @CarlosLoret a intentar destruir a López Obrador con reportajes, es como mandar a los Tiburones Rojos del Veracr…",,,,
151,"RT @AfricanFtblHQ: Throwback to when Solinas called Billiat, Messi👀

""Guys - Barcelona play with 10 players plus [Lionel] Messi. At Kaizer…",,,,
152,"RT @cill_i_am: How long did it take to shoot the knock down drag out fight in the bathroom?
#CillianMurphy: We did that for 2 days, it was…",,,,
153,@Mohamad260903 @Kelvhin_onu @BarcaTimes I mean should have too if he was already part of barcelona once,,,,
154,"RT @vamosbsc: Los azules se ríen que @teleamazonasec saca la ayuda de @miguelloor a directivos de Barcelona.
Pero no se dan cuenta que en e…",,,,
155,Deixa eu te levar pra Barcelona...,,,,
156,"RT @Futbool_Fotos: Uno de los mejores mediocampistas del fútbol. El cerebro del FC Barcelona.

Feliz cumpleaños a Don Andrés Iniesta 🔴🔵 htt…",,,,
157,"RT @Flamengo: Há exatos dois meses, o Mengão vencia o Barcelona (EQU) por 3 a 0, no Maraca, pela Fase de Grupos da Libertadores 2020. Gusta…",,,,
158,"RT @Esp_Interativo: Há alguns anos, no Barcelona... 🔥 https://t.co/mtglqAH8Si",,,,
159,RT @TarekFatah: Spanish police arrest a Muslim man who they say is a suspected #IslamicState terrorist. He was planning an attack during th…,,,,
160,RT @AntonioUbilla1: Barcelona SC 1990  @RuddyRRodriguez https://t.co/mKAsaj7zpu,,,,
161,@rafasevidane @FerTargaryen @vox_barcelona @Igarrigavaz @eltorotv @VOX_Congreso https://t.co/n6rM49w09h,,,,
162,"1. Cdmx
2. Medellín
3. Veracruz
4. Barcelona
5. Querétaro I guess https://t.co/bPpQx0LTRL",,,,
163,"RT @Alejand59293573: #AviancaSeguiráVolando 
Foto desde un A330-200 aterrizando en Barcelona ❤️
Gratitud y Esperanza https://t.co/VqkkzEaQjm",,,,
164,"PT KP PRESS | Kalau Jadi Presiden Barcelona Lagi, Laporta Mau Bawa Pulang Gaurdiola – PT KONTAKPERKASA FUTURES SURA… https://t.co/lmvt9iFVyy",,,,
165,"RT @goal: Guardiola &amp; Messi together again? 🤗

“I would very much like Guardiola to come back, but now he is at City &amp; it is a decision tha…",,,,
166,"RT @BotecoBDA: Range Rover de Arthur fica sem bateria e faz atleta ter que ir treinar de Ferrari e quebrar protocolo no Barcelona.

O proto…",,,,
167,"Leonel Messi, el jugador del Barcelona y capitán de la selección argentina, realizó una gran #donación nuevamente p… https://t.co/PATK14KwAX",,,,
168,@FerTargaryen @vox_barcelona @Igarrigavaz @eltorotv @VOX_Congreso https://t.co/4sX3G3aoob,,,,
169,¡Arranca la Campaña de FC BARCELONA! #PESCM #FCB https://t.co/rcLXbY6SMu,,,,
170,RT @BarcaUniversal: 📰 — Junior Firpo is almost on his way out as Barça see Marc Cucurella as Alba's replacement. The Spaniard has shined at…,,,,
171,Promoção FC BARCELONA em andamento! #PESCM #FCB https://t.co/G8Mhf6KYl0,,,,
172,"RT @CrctrBlaugrana: - Sandro Tonali (20), al Inter de Milán.
- Arthur (23), a la Juventus de Turín.
- Aouar (21), al Manchester City.
- Cam…",,,,
173,"A série do Barcelona na Netflix é muito boa, sério. Ver como são as coisas num vestiário, em momentos difíceis e de… https://t.co/XOoQTeMeAd",-50.246292,-25.071855,-49.4990131,-24.539204
174,RT @AntonioUbilla1: Barcelona SC 1990  @RuddyRRodriguez https://t.co/mKAsaj7zpu,,,,
175,"Vicky Cristina Barcelona do Woody Allen, que filme... Obs: Maria Helena é tudo!",,,,
176,"RT @Sporf: 🇦🇷 Lionel Messi has donated €500,000 to be distributed to 6 hospitals in Argentina to help the fight against Coronavirus. 

💰 Th…",,,,
